points_from,points_to,juror_a_ranking,juror_b_ranking,juror_c_ranking,juror_d_ranking,juror_e_ranking,jury_rank,televote_rank,jury_points,televote_points
Albania,Armenia,3,2,5,4,8,4,4,7,7
Albania,Austria,12,15,15,12,15,16,7,0,4
Albania,Bulgaria,14,16,16,5,6,10,1,1,12
Albania,Croatia,1,10,9,9,13,8,5,3,6
Albania,Denmark,6,9,13,10,14,11,12,0,0
Albania,Greece,7,3,4,1,5,3,2,8,10
Albania,Iceland,4,12,8,11,1,6,14,5,0
Albania,Latvia,15,7,11,15,9,13,16,0,0
Albania,Lithuania,13,11,7,14,12,14,10,0,1
Albania,Moldova,10,14,14,13,10,15,11,0,0
Albania,Netherlands,5,4,2,2,2,2,8,10,3
Albania,Norway,9,8,12,7,11,9,9,2,2
Albania,Portugal,8,6,3,6,16,7,6,4,5
Albania,Slovenia,16,13,10,16,4,12,15,0,0
Albania,Switzerland,2,5,6,8,7,5,13,6,0
Albania,Ukraine,11,1,1,3,3,1,3,12,8
Armenia,Albania,12,10,16,12,15,16,9,0,2
Armenia,Austria,14,13,7,9,11,11,6,0,5
Armenia,Bulgaria,13,6,11,14,13,12,14,0,0
Armenia,Croatia,15,7,9,6,6,7,11,4,0
Armenia,Denmark,16,11,8,15,16,15,15,0,0
Armenia,Greece,3,1,5,3,2,3,2,8,10
Armenia,Iceland,9,9,6,16,7,8,12,3,0
Armenia,Latvia,5,16,15,8,14,9,16,2,0
Armenia,Lithuania,10,15,14,13,10,14,4,0,7
Armenia,Moldova,7,12,10,10,12,10,5,1,6
Armenia,Netherlands,2,3,1,4,1,1,7,12,4
Armenia,Norway,8,2,2,7,4,5,8,6,3
Armenia,Portugal,1,5,3,1,3,2,3,10,8
Armenia,Slovenia,11,14,12,11,9,13,13,0,0
Armenia,Switzerland,6,8,13,5,8,6,10,5,1
Armenia,Ukraine,4,4,4,2,5,4,1,7,12
Austria,Albania,16,16,16,16,15,16,9,0,2
Austria,Armenia,1,4,1,8,3,1,3,12,8
Austria,Bulgaria,11,12,10,13,14,13,15,0,0
Austria,Croatia,4,6,6,10,7,8,5,3,6
Austria,Denmark,5,7,2,6,10,6,14,5,0
Austria,Greece,3,3,8,9,6,5,13,6,0
Austria,Iceland,10,10,12,4,8,9,11,2,0
Austria,Latvia,14,14,7,3,13,10,16,1,0
Austria,Lithuania,6,15,13,11,9,12,7,0,4
Austria,Moldova,12,11,15,12,16,14,2,0,10
Austria,Netherlands,8,1,3,7,2,3,6,8,5
Austria,Norway,15,2,9,5,5,7,4,4,7
Austria,Portugal,2,9,5,1,1,2,10,10,1
Austria,Slovenia,13,13,14,15,12,15,12,0,0
Austria,Switzerland,9,8,4,2,4,4,8,7,3
Austria,Ukraine,7,5,11,14,11,11,1,0,12
Bulgaria,Albania,16,16,16,16,16,16,10,0,1
Bulgaria,Armenia,2,3,3,3,2,3,2,8,10
Bulgaria,Austria,14,12,11,13,15,13,11,0,0
Bulgaria,Croatia,5,5,7,6,5,5,9,6,2
Bulgaria,Denmark,6,9,6,11,6,9,13,2,0
Bulgaria,Greece,1,4,1,2,7,2,4,10,7
Bulgaria,Iceland,15,15,15,12,10,14,15,0,0
Bulgaria,Latvia,8,6,2,10,12,8,16,3,0
Bulgaria,Lithuania,9,14,14,14,14,12,6,0,5
Bulgaria,Moldova,10,8,10,8,11,10,3,1,8
Bulgaria,Netherlands,7,11,8,5,3,7,8,4,3
Bulgaria,Norway,13,2,4,4,8,4,7,7,4
Bulgaria,Portugal,4,7,9,9,4,6,5,5,6
Bulgaria,Slovenia,12,13,13,15,13,15,14,0,0
Bulgaria,Switzerland,3,1,5,1,1,1,12,12,0
Bulgaria,Ukraine,11,10,12,7,9,11,1,0,12
Croatia,Albania,14,16,16,9,12,14,9,0,2
Croatia,Armenia,10,9,10,10,11,10,6,1,5
Croatia,Austria,13,13,13,16,13,15,7,0,4
Croatia,Bulgaria,15,15,15,15,14,16,14,0,0
Croatia,Denmark,9,6,8,6,6,8,12,3,0
Croatia,Greece,4,2,2,1,5,3,11,8,0
Croatia,Iceland,8,8,9,7,3,7,15,4,0
Croatia,Latvia,12,11,11,11,10,11,13,0,0
Croatia,Lithuania,2,3,1,4,2,2,5,10,6
Croatia,Moldova,16,12,14,13,9,13,2,0,10
Croatia,Netherlands,7,4,5,12,15,9,8,2,3
Croatia,Norway,11,14,12,14,8,12,4,0,7
Croatia,Portugal,1,5,3,2,1,1,10,12,1
Croatia,Slovenia,6,10,4,8,4,6,3,5,8
Croatia,Switzerland,5,1,7,5,16,5,16,6,0
Croatia,Ukraine,3,7,6,3,7,4,1,7,12
Denmark,Albania,15,16,15,16,10,16,15,0,0
Denmark,Armenia,13,8,11,5,6,9,6,2,5
Denmark,Austria,10,10,8,11,14,13,9,0,2
Denmark,Bulgaria,14,13,14,9,13,15,14,0,0
Denmark,Croatia,8,12,9,12,11,12,13,0,0
Denmark,Greece,2,6,5,3,1,2,11,10,0
Denmark,Iceland,6,5,6,8,7,7,4,4,7
Denmark,Latvia,4,15,13,14,12,10,12,1,0
Denmark,Lithuania,11,2,10,10,4,6,3,5,8
Denmark,Moldova,12,4,16,13,16,11,5,0,6
Denmark,Netherlands,7,1,1,2,3,1,7,12,4
Denmark,Norway,3,9,12,6,9,8,2,3,10
Denmark,Portugal,5,11,2,1,2,3,8,8,3
Denmark,Slovenia,16,14,7,15,15,14,16,0,0
Denmark,Switzerland,9,3,4,4,5,5,10,6,1
Denmark,Ukraine,1,7,3,7,8,4,1,7,12
France,Albania,12,17,17,17,17,17,6,0,5
France,Armenia,1,5,9,3,7,4,1,7,12
France,Austria,10,13,4,10,11,10,11,1,0
